38	Journal of bacteriology
21	Standards in genomic sciences
16	International journal of systematic and evolutionary microbiology
15	Genome announcements
14	Proceedings of the National Academy of Sciences of the United States of America
9	PloS one
8	Applied and environmental microbiology
6	Genome research
6	Microbiology resource announcements
6	The ISME journal
4	DNA research : an international journal for rapid publication of reports on genes and genomes
4	Environmental microbiology reports
3	Environmental microbiology
3	Extremophiles : life under extreme conditions
3	Frontiers in microbiology
3	Molecular microbiology
3	Nature
3	Nature communications
2	BMC genomics
2	Gene
2	Genome biology
2	Science (New York, N.Y.)
1	Archaea (Vancouver, B.C.)
1	Astrobiology
1	BMC biotechnology
1	BMC research notes
1	Experientia
1	Genetics
1	Genomics
1	Journal of molecular biology
1	Journal of molecular microbiology and biotechnology
1	Journal of virology
1	Marine genomics
1	Methods in enzymology
1	MicrobiologyOpen
1	Molecular & cellular proteomics : MCP
1	Nucleic acids research
1	Open biology
1	PLoS genetics
1	Scientific reports
