29976612	Genome announcements	Complete Genome Sequence of the Bacterium Serratia marcescens SGAir0764, Isolated from Singapore Air.
29954893	Genome announcements	Complete Genome Sequence of Acinetobacter schindleri SGAir0122 Isolated from Singapore Air.
29930068	Genome announcements	Single Circular Chromosome Identified from the Genome Sequence of the Vibrio cholerae O1 bv. El Tor Ogawa Strain V060002.
29930060	Genome announcements	Complete Genome Sequence of Mycobacterium shigaense.
29853498	Genome announcements	Complete Genome Sequence of Pseudomonas stutzeri Type Strain SGAir0442, Isolated from Singapore Air Samples.
29773624	Genome announcements	, Obtained Using Nanopore and Illumina Sequencing Technologies.
29748402	Genome announcements	Complete Genome Sequence of Geobacter sulfurreducens Strain YM18, Isolated from River Sediment in Japan.
29748397	Genome announcements	Complete Genome Sequence of Staphylococcus haemolyticus Type Strain SGAir0252.
29724855	Genome announcements	Complete Genome Sequence of Acinetobacter indicus Type Strain SGAir0564 Isolated from Tropical Air Collected in Singapore.
29724826	Genome announcements	Type Strain SGAir0187, Isolated from Tropical Air Collected in Singapore.
29700143	Genome announcements	Complete Genome Sequence of Sphingobium sp. Strain YG1, a Lignin Model Dimer-Metabolizing Bacterium Isolated from Sediment in Kagoshima Bay, Japan.
29650580	Genome announcements	High-Quality Whole-Genome Sequences for 59 Historical Shigella Strains Generated with PacBio Sequencing.
29599162	Genome announcements	Draft Genome Sequence of Escherichia coli KL53.
29567747	Genome announcements	Complete Genome Sequence of Altererythrobacter sp. Strain B11, an Aromatic Monomer-Degrading Bacterium, Isolated from Deep-Sea Sediment under the Seabed off Kashima, Japan.
29472335	Genome announcements	Complete Genome Sequence of Lactococcus lactis subsp. lactis G50 with Immunostimulating Activity, Isolated from Napier Grass.
29437099	Genome announcements	Complex.
29348360	Genome announcements	Strains Isolated from Human Skin.
29348358	Genome announcements	sp. Strain EA-1, a Thermophilic Knallgas Bacterium, Isolated from the Azores.
29217796	Genome announcements	Strain OB3b Reveals the Presence of a Third Large Plasmid.
29192078	Genome announcements	S141, a New Strain of Plant Growth-Promoting Rhizobacterium Isolated from Soybean Rhizosphere.
29146852	Genome announcements	Biovar 1 Strain 186, Isolated from Walnut.
29122878	Genome announcements	Type Strain SGAir0031 Isolated from Tropical Air Collected in Singapore.
29097460	Genome announcements	Genus.
29074660	Genome announcements	DSM 458, an Antimicrobial-Producing Thermophilic Bacterium, Isolated from a Sugar Beet Factory.
28963211	Genome announcements	Strain HAZ141_2 from Bovine Nasal Discharge in Japan.
28912323	Genome announcements	Isolates with Novel Pertactin-Deficient Deletions.
28818905	Genome announcements	.
28818900	Genome announcements	Typhimurium Isolate (TW-Stm6) Carrying a Large Plasmid with Multiple Antimicrobial Resistance Genes.
28818888	Genome announcements	LK-145 Isolated from a Japanese Sake Cellar as a High Producer of d-Amino Acids.
28774971	Genome announcements	LT-38, a Non-Spore-Forming Gram-Positive Lactic Acid Bacterium.
28774969	Genome announcements	LT-13 Isolated from Moto Starter of Sake.
28751393	Genome announcements	LK-151 Isolated from a Japanese Sake Cellar as a High Producer of d-Amino Acids.
28729264	Genome announcements	FERMP-21014.
28729261	Genome announcements	sp.) in the United States.
28729254	Genome announcements	Toxin Subtype F7 Strains.
28684573	Genome announcements	De Donno.
28684565	Genome announcements	Beijing Family Strains Belonging to Distinct Genotype Clusters in Hanoi, Vietnam, during 2007 to 2009.
28619800	Genome announcements	KCH-402 and KCH-405.
28619797	Genome announcements	Strain Belonging to the East African-Indian Family in the Indo-Oceanic Lineage, Isolated in Hanoi, Vietnam.
28572323	Genome announcements	1457.
28572320	Genome announcements	sp. Strain MOE7, Which Produces an Extracellular Polysaccharide with Antioxidant and Antitumor Activities.
28428297	Genome announcements	Strain H87 Isolated from an Indoor Water Sample.
28385852	Genome announcements	sp. Strain NIES-970.
28385837	Genome announcements	Strain A9, a Bacterium Isolated from Chernobyl Radionuclide-Contaminated Soil.
28385830	Genome announcements	Isolates Exhibiting Decreased Meropenem Susceptibility.
28280007	Genome announcements	Strain with Exceptional Antimicrobial Activity.
28183759	Genome announcements	Strains.
28183755	Genome announcements	Strain HAZ 596 from a Bovine Vagina in Japan.
28126932	Genome announcements	Complete Genome Sequence of Acinetobacter sp. Strain NCu2D-2 Isolated from a Mouse.
28104661	Genome announcements	Draft Genome Sequences of Four Alkaliphilic Bacteria Belonging to the Anaerobacillus Genus.
28104655	Genome announcements	First Complete Providencia rettgeri Genome Sequence, the NDM-1-Producing Clinical Strain RB151.
28007855	Genome announcements	Complete Genome Sequences of Four Bordetella pertussis Vaccine Reference Strains from Serum Institute of India.
27979952	Genome announcements	Complete Genome Sequence of Rhodococcus sp. Strain WMMA185, a Marine Sponge-Associated Bacterium.
27881537	Genome announcements	Complete Genome Sequence of Mycobacterium chimaera Strain AH16.
27834722	Genome announcements	Complete Genome Sequence of Aggregatibacter actinomycetemcomitans Strain IDH781.
27834703	Genome announcements	Complete Genome Sequence of NEB 5-alpha, a Derivative of Escherichia coli K-12 DH5α.
27795289	Genome announcements	Complete Genome Sequences of Three Important Methicillin-Resistant Clinical Isolates of Staphylococcus pseudintermedius.
27795272	Genome announcements	Complete Genome Sequence of Streptococcus pyogenes Strain JMUB1235 Isolated from an Acute Phlegmonous Gastritis Patient.
27795254	Genome announcements	Complete Genome Sequence of a Bacterium Representing a Deep Uncultivated Lineage within the Gammaproteobacteria Associated with the Degradation of Polycyclic Aromatic Hydrocarbons.
27795250	Genome announcements	Complete Genome Sequences of Four Different Bordetella sp. Isolates Causing Human Respiratory Infections.
27635001	Genome announcements	Complete Genome Sequences of Bordetella pertussis Vaccine Reference Strains 134 and 10536.
27609922	Genome announcements	Complete Genome Sequence of the Attenuated Corynebacterium pseudotuberculosis Strain T1.
27587811	Genome announcements	First Complete Genome Sequence of the Skin-Improving Lactobacillus curvatus Strain FBA2, Isolated from Fermented Vegetables, Determined by PacBio Single-Molecule Real-Time Technology.
27563044	Genome announcements	Complete Genome Sequences of the Historical Legionella pneumophila Strains OLDA and Pontiac.
27445387	Genome announcements	Complete Genome Sequence of Moraxella osloensis Strain KMC41, a Producer of 4-Methyl-3-Hexenoic Acid, a Major Malodor Compound in Laundry.
27417842	Genome announcements	Whole-Genome Sequence of Filimonas lacunae, a Bacterium of the Family Chitinophagaceae Characterized by Marked Colony Growth under a High-CO2 Atmosphere.
27417840	Genome announcements	Complete Genome Sequences of Campylobacter hyointestinalis subsp. hyointestinalis Strain LMG 9260 and C. hyointestinalis subsp. lawsonii Strain LMG 15993.
27365359	Genome announcements	Complete Genome Sequence of Campylobacter iguaniorum Strain RM11343, Isolated from an Alpaca.
27365350	Genome announcements	Complete Genome Sequence of Aurantimicrobium minutum Type Strain KNCT, a Planktonic Ultramicrobacterium Isolated from River Water.
27340080	Genome announcements	Complete Genome Sequence of the Fish Pathogen Flavobacterium columnare Strain C#2.
27340072	Genome announcements	Complete Genome Sequence of the First KPC-Type Carbapenemase-Positive Proteus mirabilis Strain from a Bloodstream Infection.
27340065	Genome announcements	Complete Genome Sequence of a Multidrug-Resistant Acinetobacter baumannii Isolate Obtained from a Mexican Hospital (Sequence Type 422).
27313306	Genome announcements	Complete Genome Sequence of Biofilm-Forming Strain Staphylococcus haemolyticus S167.
27313304	Genome announcements	Complete Genome Sequences of Four Strains from the 2015-2016 Elizabethkingia anophelis Outbreak.
27313299	Genome announcements	Whole-Genome Sequence of Hafnia alvei HUMV-5920, a Human Isolate.
27313289	Genome announcements	Complete Genome Sequence of Methylobacterium populi P-1M, Isolated from Pink-Pigmented Household Biofilm.
27284158	Genome announcements	Complete Genome Sequence of Mycobacterium chelonae Type Strain CCUG 47445, a Rapidly Growing Species of Nontuberculous Mycobacteria.
27284157	Genome announcements	Complete Genome Sequence of Lysinibacillus sphaericus WHO Reference Strain 2362.
27284156	Genome announcements	Complete Genome Sequence of Mycobacterium abscessus subsp. bolletii.
27284143	Genome announcements	Complete Genome Sequence of Sphingopyxis terrae Strain 203-1 (NBRC 111660), a Polyethylene Glycol Degrader.
27284142	Genome announcements	Complete Genome Sequence of Sphingopyxis macrogoltabida Strain 203N (NBRC 111659), a Polyethylene Glycol Degrader.
27284141	Genome announcements	Chromosome and Plasmids of the Tick-Borne Relapsing Fever Agent Borrelia hermsii.
27284135	Genome announcements	Complete Genome Sequence of Mesorhizobium ciceri Strain CC1192, an Efficient Nitrogen-Fixing Microsymbiont of Cicer arietinum.
27284134	Genome announcements	Complete Genome Sequence of Mesorhizobium ciceri bv. biserrulae Strain WSM1284, an Efficient Nitrogen-Fixing Microsymbiont of the Pasture Legume Biserrula pelecinus.
27284129	Genome announcements	Complete Genome and Plasmid Sequences for Rhodococcus fascians D188 and Draft Sequences for Rhodococcus Isolates PBTS 1 and PBTS 2.
27257213	Genome announcements	Complete Genome Sequence of Geobacter anodireducens SD-1T, a Salt-Tolerant Exoelectrogenic Microbe in Bioelectrochemical Systems.
27257195	Genome announcements	Complete Genome Sequence of Streptomyces ambofaciens DSM 40697, a Paradigm for Genome Plasticity Studies.
27257192	Genome announcements	Complete and Closed Genome Sequences of 10 Salmonella enterica subsp. enterica Serovar Anatum Isolates from Human and Bovine Sources.
27231379	Genome announcements	First Complete Genome Sequence of a Subdivision 6 Acidobacterium Strain.
27231373	Genome announcements	Complete Genome Sequence of Pseudomonas fluorescens LBUM636, a Strain with Biocontrol Capabilities against Late Blight of Potato.
27231369	Genome announcements	Complete Genome Sequence of Klebsiella quasipneumoniae subsp. similipneumoniae Strain ATCC 700603.
27231366	Genome announcements	Genome Sequence of the Fish Pathogen Flavobacterium columnare Genomovar II Strain 94-081.
27231364	Genome announcements	Complete Genome Sequence and Methylome Analysis of Bacillus globigii ATCC 49760.
27231360	Genome announcements	Whole-Genome Sequence of Rummeliibacillus stabekisii Strain PP9 Isolated from Antarctic Soil.
27231356	Genome announcements	Complete Genome Sequence of the Mycobacterium immunogenum Type Strain CCUG 47286.
27198011	Genome announcements	Complete Genome Sequence of Mycobacterium tuberculosis Clinical Isolate Spoligotype SIT745/EAI1-MYS.
27174283	Genome announcements	Complete Genome Sequence of Staphylococcus aureus MCRF184, a Necrotizing Fasciitis-Causing Methicillin-Sensitive Sequence Type 45 Staphylococcus Strain.
27174270	Genome announcements	Complete Genome Sequence of Labrenzia sp. Strain CP4, Isolated from a Self-Regenerating Biocathode Biofilm.
27174266	Genome announcements	Complete Genome Sequence of Algoriphagus sp. Strain M8-2, Isolated from a Brackish Lake.
27174264	Genome announcements	Complete Genome Sequence of a CTX-M-15-Producing Escherichia coli Strain from the H30Rx Subclone of Sequence Type 131 from a Patient with Recurrent Urinary Tract Infections, Closely Related to a Lethal Urosepsis Isolate from the Patient's Sister.
27151801	Genome announcements	Three Genome Sequences of Legionella pneumophila subsp. pascullei Associated with Colonization of a Health Care Facility.
27151786	Genome announcements	Complete Genome Sequence of the Larvicidal Bacterium Lysinibacillus sphaericus Strain OT4b.25.
27125483	Genome announcements	Complete Genome Sequence of UV-Resistant Campylobacter jejuni RM3194, Including an 81.08-Kilobase Plasmid.
27125482	Genome announcements	Complete Genome Sequence of Serratia rubidaea Isolated in China.
27103727	Genome announcements	Complete Genome Sequences of Aerococcus christensenii CCUG 28831T, Aerococcus sanguinicola CCUG 43001T, Aerococcus urinae CCUG 36881T, Aerococcus urinaeequi CCUG 28094T, Aerococcus urinaehominis CCUG 42038 BT, and Aerococcus viridans CCUG 4311T.
27103725	Genome announcements	Genome Sequence of Aeromicrobium erythreum NRRL B-3381, an Erythromycin-Producing Bacterium of the Nocardioidaceae.
27103717	Genome announcements	Complete Genome Sequence of Salmonella enterica Serovar Typhimurium Strain SO3 (Sequence Type 302) Isolated from a Baby with Meningitis in Mexico.
27103714	Genome announcements	First Complete Genome Sequence of the Dutch Veterinary Coxiella burnetii Strain NL3262, Originating from the Largest Global Q Fever Outbreak, and Draft Genome Sequence of Its Epidemiologically Linked Chronic Human Isolate NLhu3345937.
27103708	Genome announcements	Complete Genome Sequence of Pseudomonas balearica DSM 6083T.
27081148	Genome announcements	Complete Genome Sequence of the Amino Acid-Fermenting Clostridium propionicum X2 (DSM 1682).
27081146	Genome announcements	Complete Genome Sequence of Streptomyces albus SM254, a Potent Antagonist of Bat White-Nose Syndrome Pathogen Pseudogymnoascus destructans.
27081133	Genome announcements	Complete Genome Sequence of Salmonella enterica Serovar Typhimurium Strain SO2 (Sequence Type 302) Isolated from an Asymptomatic Child in Mexico.
27081132	Genome announcements	Complete Genome Sequence of Salmonella enterica Serovar Typhimurium Strain YU15 (Sequence Type 19) Harboring the Salmonella Genomic Island 1 and Virulence Plasmid pSTV.
27056239	Genome announcements	Draft Genome Sequences of Three European Laboratory Derivatives from Enterohemorrhagic Escherichia coli O157:H7 Strain EDL933, Including Two Plasmids.
27056236	Genome announcements	Complete Genome Sequence of Bacillus subtilis Strain CU1050, Which Is Sensitive to Phage SPβ.
27056234	Genome announcements	Complete Genome Sequence of Streptococcus mitis Strain SVGS_061 Isolated from a Neutropenic Patient with Viridans Group Streptococcal Shock Syndrome.
27056233	Genome announcements	Complete Genome Sequence of an Escherichia coli O157:H7 Strain Isolated from a Super-Shedder Steer.
27056231	Genome announcements	Complete Genome Sequence of a γ-Hexachlorocyclohexane Degrader, Sphingobium sp. Strain TKS, Isolated from a γ-Hexachlorocyclohexane-Degrading Microbial Community.
27056230	Genome announcements	Complete Genome Sequence of a γ-Hexachlorocyclohexane-Degrading Bacterium, Sphingobium sp. Strain MI1205.
27056229	Genome announcements	Complete Genome Sequence of the Macrolide-Resistant Mycoplasma pneumoniae Strain C267 in China.
27056225	Genome announcements	Genome Sequence of Bacillus anthracis Strain Stendal, Isolated from an Anthrax Outbreak in Cattle in Germany.
27056223	Genome announcements	Genome Sequence of the Piezophilic, Mesophilic Sulfate-Reducing Bacterium Desulfovibrio indicus J2T.
27034492	Genome announcements	Complete Genome Sequence of Mycobacterium bovis Strain BCG-1 (Russia).
27034489	Genome announcements	Genome Sequences of Five Nonvirulent Listeria monocytogenes Serovar 4 Strains.
27013052	Genome announcements	Whole-Genome Sequence of Corynebacterium pseudotuberculosis 262 Biovar equi Isolated from Cow Milk.
27013050	Genome announcements	Whole-Genome Sequence of Bacillus sp. SDLI1, Isolated from the Social Bee Scaptotrigona depilis.
27013041	Genome announcements	Fully Closed Genome Sequences of Five Type Strains of the Genus Cronobacter and One Cronobacter sakazakii Strain.
27013039	Genome announcements	Complete Genome Sequence of Alteromonas stellipolaris LMG 21856, a Budding Brown Pigment-Producing Oligotrophic Bacterium Isolated from the Southern Ocean.
27013036	Genome announcements	Complete Genome Sequence of Turicibacter sp. Strain H121, Isolated from the Feces of a Contaminated Germ-Free Mouse.
26988061	Genome announcements	Draft Genome Sequence of an NDM-5-Producing Klebsiella pneumoniae Sequence Type 14 Strain of Serotype K2.
26988058	Genome announcements	Draft Genome Sequence of "Halomonas chromatireducens" Strain AGD 8-3, a Haloalkaliphilic Chromate- and Selenite-Reducing Gammaproteobacterium.
26988053	Genome announcements	Complete Genome Sequence of Methylobacterium sp. Strain AMS5, an Isolate from a Soybean Stem.
26988051	Genome announcements	Complete Genome Sequence of emm28 Type Streptococcus pyogenes MEW123, a Streptomycin-Resistant Derivative of a Clinical Throat Isolate Suitable for Investigation of Pathogenesis.
26988049	Genome announcements	Complete Genome and Methylome Sequences of Salmonella enterica subsp. enterica Serovar Panama (ATCC 7378) and Salmonella enterica subsp. enterica Serovar Sloterdijk (ATCC 15791).
26988045	Genome announcements	Complete Genome Sequence of Bradyrhizobium sp. Strain CCGE-LA001, Isolated from Field Nodules of the Enigmatic Wild Bean Phaseolus microcarpus.
26988042	Genome announcements	Complete Genome Sequence of Vancomycin-Intermediate Staphylococcus aureus Strain MI (HIP5827).
26988036	Genome announcements	Whole-Genome Sequencing of Macrolide-Resistant Mycoplasma pneumoniae Strain S355, Isolated in China.
26966213	Genome announcements	Draft Genome Sequences of Strains Representing Each of the Elizabethkingia Genomospecies Previously Determined by DNA-DNA Hybridization.
26966206	Genome announcements	Genome Sequences of Listeria monocytogenes Strains Responsible for Cheese- and Cooked Ham Product-Associated Swiss Listeriosis Outbreaks in 2005 and 2011.
26966201	Genome announcements	Complete Genome Sequence of Nitrosomonas ureae Strain Nm10, an Oligotrophic Group 6a Nitrosomonad.
26941156	Genome announcements	Draft Whole-Genome Sequences of 25 Salmonella enterica Strains Representing 24 Serovars.
26941150	Genome announcements	Genome Sequence of a Virulent Pseudomonas aeruginosa Strain, 12-4-4(59), Isolated from the Blood Culture of a Burn Patient.
26941143	Genome announcements	Complete Genome Sequence and Methylome Analysis of Aeromonas hydrophila Strain YL17, Isolated from a Compost Pile.
26941133	Genome announcements	Complete Genome Sequence of Pseudomonas syringae pv. lapsa Strain ATCC 10859, Isolated from Infected Wheat.
26893434	Genome announcements	Complete Genome Sequence of Pseudomonas aeruginosa Phage-Resistant Variant PA1RG.
26893432	Genome announcements	First Complete Genome Sequence of Tenacibaculum dicentrarchi, an Emerging Bacterial Pathogen of Salmonids.
26893411	Genome announcements	Genome Sequence of a Gram-Positive Diazotroph, Paenibacillus durus Type Strain ATCC 35681.
26868406	Genome announcements	Complete Genome Sequence of the African Strain AXO1947 of Xanthomonas oryzae pv. oryzae.
26868401	Genome announcements	Complete Genome Sequences of Two Interactive Moderate Thermophiles, Paenibacillus napthalenovorans 32O-Y and Paenibacillus sp. 32O-W.
26868391	Genome announcements	Complete Genome Sequence of Lactobacillus acidophilus MN-BM-F01.
26868390	Genome announcements	Six Pseudoalteromonas Strains Isolated from Surface Waters of Kabeltonne, Offshore Helgoland, North Sea.
26847891	Genome announcements	Complete Closed Genome Sequences of Salmonella enterica subsp. enterica Serotypes Anatum, Montevideo, Typhimurium, and Newport, Isolated from Beef, Cattle, and Humans.
26847886	Genome announcements	Complete Genome Sequence of Streptococcus salivarius HSISS4, a Human Commensal Bacterium Highly Prevalent in the Digestive Tract.
26823597	Genome announcements	Complete Genome Sequence of Corynebacterium pseudotuberculosis Viscerotropic Strain N1.
26823595	Genome announcements	Complete Genome Sequence of Corynebacterium pseudotuberculosis Strain PA01, Isolated from Sheep in Pará, Brazil.
26823594	Genome announcements	Genome Sequence of Highly Virulent Pseudomonas aeruginosa Strain VA-134, Isolated from a Burn Patient.
26823590	Genome announcements	Complete Genome Sequence of KPC-Producing Klebsiella pneumoniae Strain CAV1193.
26823586	Genome announcements	Complete Genome Sequence of the Exopolysaccharide-Producing Burkholderia caribensis Type Strain MWAP64.
26823585	Genome announcements	Complete Genome Sequence of the Proteorhodopsin-Containing Marine Bacterium Sediminicola sp. YIK13.
26823582	Genome announcements	Complete Genome Sequence of Pseudomonas brassicacearum LBUM300, a Disease-Suppressive Bacterium with Antagonistic Activity toward Fungal, Oomycete, and Bacterial Plant Pathogens.
26823580	Genome announcements	Complete Genome Sequence of Fish Pathogen Aeromonas hydrophila JBN2301.
26823579	Genome announcements	Complete Genome Sequence of Nonhemolytic Streptococcus agalactiae Serotype V Strain 1, Isolated from the Buccal Cavity of a Canine.
