PMID	Title	Authors	Citation	First Author	Journal/Book	Publication Year	Create Date	PMCID	NIHMS ID	DOI
35254697	Discovery of the non-cosmopolitan lineages in Candidatus Thermoprofundales	Liu YF, Yang L, Liu ZL, Chen J, Fang B, Zhou L, Liu JF, Yang SZ, Gu JD, Mu BZ.	"Environ Microbiol. 2022 Jul;24(7):3063-3080. doi: 10.1111/1462-2920.15965. Epub 2022 May 31."	Liu YF	Environ Microbiol	2022	2022/03/07			10.1111/1462-2920.15965
35177734	Microbial epibiotic community of the deep-sea galatheid squat lobster Munidopsis alvisca	Leinberger J, Milke F, Christodoulou M, Poehlein A, Caraveo-Patiño J, Teske A, Brinkhoff T.	"Sci Rep. 2022 Feb 17;12(1):2675. doi: 10.1038/s41598-022-06666-x."	Leinberger J	Sci Rep	2022	2022/02/18	PMC8854721		10.1038/s41598-022-06666-x
35027677	Unique mobile elements and scalable gene flow at the prokaryote-eukaryote boundary revealed by circularized Asgard archaea genomes	Wu F, Speth DR, Philosof A, Crémière A, Narayanan A, Barco RA, Connon SA, Amend JP, Antoshechkin IA, Orphan VJ.	"Nat Microbiol. 2022 Feb;7(2):200-212. doi: 10.1038/s41564-021-01039-y. Epub 2022 Jan 13."	Wu F	Nat Microbiol	2022	2022/01/14	PMC8813620		10.1038/s41564-021-01039-y
34827555	Glycoside Hydrolases and Glycosyltransferases from Hyperthermophilic Archaea: Insights on Their Characteristics and Applications in Biotechnology	Amin K, Tranchimand S, Benvegnu T, Abdel-Razzak Z, Chamieh H.	"Biomolecules. 2021 Oct 21;11(11):1557. doi: 10.3390/biom11111557."	Amin K	Biomolecules	2021	2021/11/27	PMC8615776		10.3390/biom11111557
34679282	[Viral diversity in deep-sea hydrothermal vents and in hot terrestrial springs]	Geslin C, Le Romancer M, Gaillard M, Prieur D.	"Virologie (Montrouge). 2005 Oct 1;9(5):357-366. doi: 10.1684/vir.2011.2398."	Geslin C	Virologie (Montrouge)	2005	2021/10/23			10.1684/vir.2011.2398
34585946	Evaluation of the Properties of the DNA Methyltransferase from Aeropyrum pernix K1	Hayashi M, Sugahara K, Yamamura A, Iida Y.	"Microbiol Spectr. 2021 Oct 31;9(2):e0018621. doi: 10.1128/Spectrum.00186-21. Epub 2021 Sep 29."	Hayashi M	Microbiol Spectr	2021	2021/09/29	PMC8557920		10.1128/Spectrum.00186-21
34489903	Genomic Variation Influences Methanothermococcus Fitness in Marine Hydrothermal Systems	Hoffert M, Anderson RE, Reveillaud J, Murphy LG, Stepanauskas R, Huber JA.	"Front Microbiol. 2021 Aug 20;12:714920. doi: 10.3389/fmicb.2021.714920. eCollection 2021."	Hoffert M	Front Microbiol	2021	2021/09/07	PMC8417812		10.3389/fmicb.2021.714920
34343062	Thermococcus aciditolerans sp. nov., a piezotolerant, hyperthermophilic archaeon isolated from a deep-sea hydrothermal vent chimney in the Southwest Indian Ridge	Li XG, Tang HZ, Zhang WJ, Qi XQ, Qu ZG, Xu J, Wu LF.	"Int J Syst Evol Microbiol. 2021 Aug;71(8). doi: 10.1099/ijsem.0.004934."	Li XG	Int J Syst Evol Microbiol	2021	2021/08/03			10.1099/ijsem.0.004934
34335500	Physiological and Genomic Characterization of a Hyperthermophilic Archaeon Archaeoglobus neptunius sp. nov. Isolated From a Deep-Sea Hydrothermal Vent Warrants the Reclassification of the Genus Archaeoglobus	Slobodkina G, Allioux M, Merkel A, Cambon-Bonavita MA, Alain K, Jebbar M, Slobodkin A.	"Front Microbiol. 2021 Jul 16;12:679245. doi: 10.3389/fmicb.2021.679245. eCollection 2021."	Slobodkina G	Front Microbiol	2021	2021/08/02	PMC8322695		10.3389/fmicb.2021.679245
34270399	Thermococcus henrietii sp. nov., a novel extreme thermophilic and piezophilic sulfur-reducing archaeon isolated from a deep-sea hydrothermal chimney	Alain K, Vince E, Courtine D, Maignien L, Zeng X, Shao Z, Jebbar M.	"Int J Syst Evol Microbiol. 2021 Jul;71(7). doi: 10.1099/ijsem.0.004895."	Alain K	Int J Syst Evol Microbiol	2021	2021/07/16			10.1099/ijsem.0.004895
