PMID	Title	Authors	Citation	First Author	Journal/Book	Publication Year	Create Date	PMCID	NIHMS ID	DOI
35694283	Metagenomics Reveals Dominant Unusual Sulfur Oxidizers Inhabiting Active Hydrothermal Chimneys From the Southwest Indian Ridge	Wang Y, Bi HY, Chen HG, Zheng PF, Zhou YL, Li JT.	"Front Microbiol. 2022 May 25;13:861795. doi: 10.3389/fmicb.2022.861795. eCollection 2022."	Wang Y	Front Microbiol	2022	2022/06/13	PMC9174799		10.3389/fmicb.2022.861795
35568398	Genome sequence of five Zetaproteobacteria metagenome-assembled genomes recovered from hydrothermal vent Longqi, Southwest Indian Ridge	Zhong YW, Zhou P, Cheng H, Xu XW, Wu YH.	"Mar Genomics. 2022 Jun;63:100936. doi: 10.1016/j.margen.2022.100936. Epub 2022 Mar 7."	Zhong YW	Mar Genomics	2022	2022/05/14			10.1016/j.margen.2022.100936
35568402	Complete genome sequence of Roseivivax marinus strain TCYB24 with quorum sensing system reveal the adaptive mechanism against deep-sea hydrothermal environment	Chen ZX, Yang L, Li Q, Zhu YJ, Zheng L.	"Mar Genomics. 2022 Jun;63:100952. doi: 10.1016/j.margen.2022.100952. Epub 2022 Apr 20."	Chen ZX	Mar Genomics	2022	2022/05/14			10.1016/j.margen.2022.100952
35453798	Phylogeny and Metabolic Potential of the Candidate Phylum SAR324	Malfertheiner L, Martínez-Pérez C, Zhao Z, Herndl GJ, Baltar F.	"Biology (Basel). 2022 Apr 14;11(4):599. doi: 10.3390/biology11040599."	Malfertheiner L	Biology (Basel)	2022	2022/04/23	PMC9031357		10.3390/biology11040599
35352015	Microbial communities of Auka hydrothermal sediments shed light on vent biogeography and the evolutionary history of thermophily	Speth DR, Yu FB, Connon SA, Lim S, Magyar JS, Peña-Salinas ME, Quake SR, Orphan VJ.	"ISME J. 2022 Jul;16(7):1750-1764. doi: 10.1038/s41396-022-01222-x. Epub 2022 Mar 28."	Speth DR	ISME J	2022	2022/03/30	PMC9213671		10.1038/s41396-022-01222-x
35349333	Horizontal transmission enables flexible associations with locally adapted symbiont strains in deep-sea hydrothermal vent symbioses	Breusing C, Genetti M, Russell SL, Corbett-Detig RB, Beinart RA.	"Proc Natl Acad Sci U S A. 2022 Apr 5;119(14):e2115608119. doi: 10.1073/pnas.2115608119. Epub 2022 Mar 29."	Breusing C	Proc Natl Acad Sci U S A	2022	2022/03/29	PMC9168483		10.1073/pnas.2115608119
35246304	Complete genome sequence of Crassaminicella sp. 143-21，isolated from a deep-sea hydrothermal vent	Li XG, Jiao ZX, Zhang HH, Xu J, Zhang WJ, Qi XQ, Wu LF.	"Mar Genomics. 2022 Apr;62:100899. doi: 10.1016/j.margen.2021.100899. Epub 2021 Sep 4."	Li XG	Mar Genomics	2022	2022/03/05			10.1016/j.margen.2021.100899
35229277	Current status and applications of genus Geobacillus in the production of industrially important products-a review	Khaswal A, Chaturvedi N, Mishra SK, Kumar PR, Paul PK.	"Folia Microbiol (Praha). 2022 Jun;67(3):389-404. doi: 10.1007/s12223-022-00961-w. Epub 2022 Feb 28."	Khaswal A	Folia Microbiol (Praha)	2022	2022/03/01			10.1007/s12223-022-00961-w
35208933	Shallow-Water Hydrothermal Vents as Natural Accelerators of Bacterial Antibiotic Resistance in Marine Coastal Areas	Arcadi E, Rastelli E, Tangherlini M, Rizzo C, Mancuso M, Sanfilippo M, Esposito V, Andaloro F, Romeo T.	"Microorganisms. 2022 Feb 21;10(2):479. doi: 10.3390/microorganisms10020479."	Arcadi E	Microorganisms	2022	2022/02/25	PMC8877554		10.3390/microorganisms10020479
35190935	Desulfovulcanus ferrireducens gen. nov., sp. nov., a thermophilic autotrophic iron and sulfate-reducing bacterium from subseafloor basalt that grows on akaganéite and lepidocrocite minerals	Kashyap S, Musa M, Neat KA, Leopo DA, Holden JF.	"Extremophiles. 2022 Feb 21;26(1):13. doi: 10.1007/s00792-022-01263-2."	Kashyap S	Extremophiles	2022	2022/02/22	PMC8860800		10.1007/s00792-022-01263-2
35177734	Microbial epibiotic community of the deep-sea galatheid squat lobster Munidopsis alvisca	Leinberger J, Milke F, Christodoulou M, Poehlein A, Caraveo-Patiño J, Teske A, Brinkhoff T.	"Sci Rep. 2022 Feb 17;12(1):2675. doi: 10.1038/s41598-022-06666-x."	Leinberger J	Sci Rep	2022	2022/02/18	PMC8854721		10.1038/s41598-022-06666-x
35165999	Cultivation and metabolic insights of an uncultured clade, Bacteroidetes VC2.1 Bac22 (Candidatus Sulfidibacteriales ord. nov.), from deep-sea hydrothermal vents	Leng H, Zhao W, Xiao X.	"Environ Microbiol. 2022 May;24(5):2484-2501. doi: 10.1111/1462-2920.15931. Epub 2022 Feb 14."	Leng H	Environ Microbiol	2022	2022/02/15			10.1111/1462-2920.15931
35082431	Niche differentiation of sulfur-oxidizing bacteria (SUP05) in submarine hydrothermal plumes	Dede B, Hansen CT, Neuholz R, Schnetger B, Kleint C, Walker S, Bach W, Amann R, Meyerdierks A.	"ISME J. 2022 Jun;16(6):1479-1490. doi: 10.1038/s41396-022-01195-x. Epub 2022 Jan 26."	Dede B	ISME J	2022	2022/01/27	PMC9123188		10.1038/s41396-022-01195-x
35062312	Isolation and Characterization of the First Temperate Virus Infecting Psychrobacillus from Marine Sediments	Liu W, Zheng X, Dai X, Zhang Z, Zhang W, Xiao T, Huang L.	"Viruses. 2022 Jan 8;14(1):108. doi: 10.3390/v14010108."	Liu W	Viruses	2022	2022/01/22	PMC8779076		10.3390/v14010108
35056509	Genetic Potential of Dissulfurimicrobium hydrothermale, an Obligate Sulfur-Disproportionating Thermophilic Microorganism	Yvenou S, Allioux M, Slobodkin A, Slobodkina G, Jebbar M, Alain K.	"Microorganisms. 2021 Dec 28;10(1):60. doi: 10.3390/microorganisms10010060."	Yvenou S	Microorganisms	2021	2022/01/21	PMC8780430		10.3390/microorganisms10010060
35045876	Genome-resolved evidence for functionally redundant communities and novel nitrogen fixers in the deyin-1 hydrothermal field, Mid-Atlantic Ridge	Pan J, Xu W, Zhou Z, Shao Z, Dong C, Liu L, Luo Z, Li M.	"Microbiome. 2022 Jan 19;10(1):8. doi: 10.1186/s40168-021-01202-x."	Pan J	Microbiome	2022	2022/01/20	PMC8767757		10.1186/s40168-021-01202-x
35050438	Mucisphaera calidilacus gen. nov., sp. nov., a novel planctomycete of the class Phycisphaerae isolated in the shallow sea hydrothermal system of the Lipari Islands	Kallscheuer N, Jogler C, Peeters SH, Boedeker C, Jogler M, Heuer A, Jetten MSM, Rohde M, Wiegand S.	"Antonie Van Leeuwenhoek. 2022 Mar;115(3):407-420. doi: 10.1007/s10482-021-01707-3. Epub 2022 Jan 20."	Kallscheuer N	Antonie Van Leeuwenhoek	2022	2022/01/20	PMC8882080		10.1007/s10482-021-01707-3
35027677	Unique mobile elements and scalable gene flow at the prokaryote-eukaryote boundary revealed by circularized Asgard archaea genomes	Wu F, Speth DR, Philosof A, Crémière A, Narayanan A, Barco RA, Connon SA, Amend JP, Antoshechkin IA, Orphan VJ.	"Nat Microbiol. 2022 Feb;7(2):200-212. doi: 10.1038/s41564-021-01039-y. Epub 2022 Jan 13."	Wu F	Nat Microbiol	2022	2022/01/14	PMC8813620		10.1038/s41564-021-01039-y
34852194	Discovery, Structure Correction, and Biosynthesis of Actinopyrones, Cytotoxic Polyketides from the Deep-Sea Hydrothermal-Vent-Derived Streptomyces sp. SCSIO ZS0520	Zhang H, Zhang X, Huang Y, Yuan J, Wei X, Ju J.	"J Nat Prod. 2022 Mar 25;85(3):625-633. doi: 10.1021/acs.jnatprod.1c00901. Epub 2021 Dec 1."	Zhang H	J Nat Prod	2022	2021/12/01			10.1021/acs.jnatprod.1c00901
34777309	Gene Sets and Mechanisms of Sulfate-Reducing Bacteria Biofilm Formation and Quorum Sensing With Impact on Corrosion	Tripathi AK, Thakur P, Saxena P, Rauniyar S, Gopalakrishnan V, Singh RN, Gadhamshetty V, Gnimpieba EZ, Jasthi BK, Sani RK.	"Front Microbiol. 2021 Oct 29;12:754140. doi: 10.3389/fmicb.2021.754140. eCollection 2021."	Tripathi AK	Front Microbiol	2021	2021/11/15	PMC8586430		10.3389/fmicb.2021.754140
34739365	Desulfomarina profundi gen. nov., sp. nov., a novel mesophilic, hydrogen-oxidizing, sulphate-reducing chemolithoautotroph isolated from a deep-sea hydrothermal vent chimney	Hashimoto Y, Tame A, Sawayama S, Miyazaki J, Takai K, Nakagawa S.	"Int J Syst Evol Microbiol. 2021 Nov;71(11). doi: 10.1099/ijsem.0.005083."	Hashimoto Y	Int J Syst Evol Microbiol	2021	2021/11/05			10.1099/ijsem.0.005083
34585946	Evaluation of the Properties of the DNA Methyltransferase from Aeropyrum pernix K1	Hayashi M, Sugahara K, Yamamura A, Iida Y.	"Microbiol Spectr. 2021 Oct 31;9(2):e0018621. doi: 10.1128/Spectrum.00186-21. Epub 2021 Sep 29."	Hayashi M	Microbiol Spectr	2021	2021/09/29	PMC8557920		10.1128/Spectrum.00186-21
34519521	"Metagenomics Unveils Posidonia oceanica ""Banquettes"" as a Potential Source of Novel Bioactive Compounds and Carbohydrate Active Enzymes (CAZymes)"	Rubio-Portillo E, Martin-Cuadrado AB, Ramos-Esplá AÁ, Antón J.	"mSystems. 2021 Oct 26;6(5):e0086621. doi: 10.1128/mSystems.00866-21. Epub 2021 Sep 14."	Rubio-Portillo E	mSystems	2021	2021/09/14	PMC8547425		10.1128/mSystems.00866-21
34479645	Arms race in a cell: genomic, transcriptomic, and proteomic insights into intracellular phage-bacteria interplay in deep-sea snail holobionts	Zhou K, Xu Y, Zhang R, Qian PY.	"Microbiome. 2021 Sep 3;9(1):182. doi: 10.1186/s40168-021-01099-6."	Zhou K	Microbiome	2021	2021/09/04	PMC8418041		10.1186/s40168-021-01099-6
34374209	The worm affair: fidelity and environmental adaptation in symbiont species that co-occur in vestimentiferan tubeworms	Zvi-Kedem T, Shemesh E, Tchernov D, Rubin-Blum M.	"Environ Microbiol Rep. 2021 Oct;13(5):744-752. doi: 10.1111/1758-2229.12994. Epub 2021 Aug 9."	Zvi-Kedem T	Environ Microbiol Rep	2021	2021/08/10			10.1111/1758-2229.12994
