PMID	Title	Authors	Citation	First Author	Journal/Book	Publication Year	Create Date	PMCID	NIHMS ID	DOI
10049872	Diversity of dissimilatory bisulfite reductase genes of bacteria associated with the deep-sea hydrothermal vent polychaete annelid Alvinella pompejana	Cottrell MT, Cary SC.	"Appl Environ Microbiol. 1999 Mar;65(3):1127-32. doi: 10.1128/AEM.65.3.1127-1132.1999."	Cottrell MT	Appl Environ Microbiol	1999	1999/03/02	PMC91153		10.1128/AEM.65.3.1127-1132.1999
10086845	Thermococcus siculi sp. nov., a novel hyperthermophilic archaeon isolated from a deep-sea hydrothermal vent at the Mid-Okinawa Trough	Grote R, Li L, Tamaoka J, Kato C, Horikoshi K, Antranikian G.	"Extremophiles. 1999 Jan;3(1):55-62. doi: 10.1007/s007920050099."	Grote R	Extremophiles	1999	1999/03/23			10.1007/s007920050099
10319455	Thermococcus barophilus sp. nov., a new barophilic and hyperthermophilic archaeon isolated under high hydrostatic pressure from a deep-sea hydrothermal vent	Marteinsson VT, Birrien JL, Reysenbach AL, Vernet M, Marie D, Gambacorta A, Messner P, Sleytr UB, Prieur D.	"Int J Syst Bacteriol. 1999 Apr;49 Pt 2:351-9. doi: 10.1099/00207713-49-2-351."	Marteinsson VT	Int J Syst Bacteriol	1999	1999/05/13			10.1099/00207713-49-2-351
10319480	Rapid identification of hyperthermophilic methanococci isolated from deep-sea hydrothermal vents	Jeanthon C, L'Haridon S, Pradel N, Prieur D.	"Int J Syst Bacteriol. 1999 Apr;49 Pt 2:591-4. doi: 10.1099/00207713-49-2-591."	Jeanthon C	Int J Syst Bacteriol	1999	1999/05/13			10.1099/00207713-49-2-591
10388713	Identification and characterization of a flagellin gene from the endosymbiont of the hydrothermal vent tubeworm Riftia pachyptila	Millikan DS, Felbeck H, Stein JL.	"Appl Environ Microbiol. 1999 Jul;65(7):3129-33. doi: 10.1128/AEM.65.7.3129-3133.1999."	Millikan DS	Appl Environ Microbiol	1999	1999/07/02	PMC91466		10.1128/AEM.65.7.3129-3133.1999
10419948	Citromicrobium bathyomarinum, a novel aerobic bacterium isolated from deep-sea hydrothermal vent plume waters that contains photosynthetic pigment-protein complexes	Yurkov VV, Krieger S, Stackebrandt E, Beatty JT.	"J Bacteriol. 1999 Aug;181(15):4517-25. doi: 10.1128/JB.181.15.4517-4525.1999."	Yurkov VV	J Bacteriol	1999	1999/07/27	PMC103581		10.1128/JB.181.15.4517-4525.1999
10430559	Genetic diversity of archaea in deep-sea hydrothermal vent environments	Takai K, Horikoshi K.	"Genetics. 1999 Aug;152(4):1285-97. doi: 10.1093/genetics/152.4.1285."	Takai K	Genetics	1999	1999/08/03	PMC1460697		10.1093/genetics/152.4.1285
10473383	Spatial heterogeneity of bacterial populations along an environmental gradient at a shallow submarine hydrothermal vent near Milos Island (Greece)	Sievert SM, Brinkhoff T, Muyzer G, Ziebis W, Kuever J.	"Appl Environ Microbiol. 1999 Sep;65(9):3834-42. doi: 10.1128/AEM.65.9.3834-3842.1999."	Sievert SM	Appl Environ Microbiol	1999	1999/09/03	PMC99708		10.1128/AEM.65.9.3834-3842.1999
10473384	Distribution and diversity of sulfur-oxidizing Thiomicrospira spp. at a shallow-water hydrothermal vent in the Aegean Sea (Milos, Greece)	Brinkhoff T, Sievert SM, Kuever J, Muyzer G.	"Appl Environ Microbiol. 1999 Sep;65(9):3843-9. doi: 10.1128/AEM.65.9.3843-3849.1999."	Brinkhoff T	Appl Environ Microbiol	1999	1999/09/03	PMC99709		10.1128/AEM.65.9.3843-3849.1999
10545265	A highly conserved plasmid from the extreme thermophile Thermotoga maritima MC24 is a member of a family of plasmids distributed worldwide	Akimkina T, Ivanov P, Kostrov S, Sokolova T, Bonch-Osmolovskaya E, Firman K, Dutta CF, McClellan JA.	"Plasmid. 1999 Nov;42(3):236-40. doi: 10.1006/plas.1999.1429."	Akimkina T	Plasmid	1999	1999/11/05			10.1006/plas.1999.1429
