Date read	Pubmed ID	Journal	Title	FulltextLink	PMC	Certainty	Notes to sentences	Reviewed	Annotated	Sentences
07.12.21	29976612	Genome announcements		Y	Y	90%		X		NONE
07.12.21	33495250	Journal of bacteriology	Pilus Production in Acinetobacter baumannii Is Growth Phase Dependent and Essential for Natural Transformation 	Y	Y	80%		X		The encoded products of these genes (e.g., the major pilin subunit PilA, the outer membrane secretin PilQ, and the retraction ATPase PilT) contribute to the assembly of the central TFP of the DNA uptake machinery and are key for DNA uptake in Gram-negative bacteria.
07.12.21	29225728	Standards in genomic sciences	The complete genome sequence of the rumen bacterium Butyrivibrio hungatei MB2003	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5716241/	100%		X		A novel feature of both the MB2003 and B316T genomes is the presence of chromids or secondary chromosomes
						90%		X	x	Interestingly, the vast majority of anaerobic prokaryotes appear to possess either an Ech or Rnf but not both [40, 41]. However, a recent analysis of rumen prokaryotic genomes identified Butyrivibrio and Pseudobutyrivibrio as a rare group of bacteria that possess genes for both Ech and Rnf 
07.12.21	34435946	International journal of systematic and evolutionary microbiology	Sphingomonas aliaeris sp. nov., a new species isolated from pork steak packed under modified atmosphere	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.004973#tab2	N			X		NONE
	34161222	International journal of systematic and evolutionary microbiology	Trueperella pecoris sp. nov. isolated from bovine and porcine specimens	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.004848#tab2	N			X		NONE
	33555241	International journal of systematic and evolutionary microbiology	Ruminiclostridium herbifermentans  sp. nov., a mesophilic and moderately thermophilic cellulolytic and  xylanolytic bacterium isolated from a lab-scale biogas fermenter fed  with maize silage	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.004692#tab2	N			X		NONE
	33347470	PloS one	Taxonomic classification of strain PO100/5 shows a  broader geographic distribution and genetic markers of the recently  described Corynebacterium silvaticum	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0244210	Y	80%		X		Pangenome analysis of 38 C. silvaticum and 76 C. ulcerans genomes suggested that C. silvaticum is a genetically homogeneous species, with 73.6% of its genes conserved and a pangenome near to be closed (α > 0.952).
	33301463	PloS one	Nitrosophilus alvini gen. nov., sp. nov., a  hydrogen-oxidizing chemolithoautotroph isolated from a deep-sea  hydrothermal vent in the East Pacific Rise, inferred by a genome-based  taxonomy of the phylum “Campylobacterota”	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0241366	Y			X		NONE
	30326842	BMC genomics	High genomic variability in the plant pathogenic bacterium Pectobacterium parmentieri deciphered from de novo assembled complete genomes	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-018-5140-9	Y	20%		X		The observed high genomic plasticity can explain these features within P. parmentieri species expressed by a high number of MGE found both in the core and particularly in the dispensable pan-genome fraction.
						50%		X		genomes of all the tested strains possess a colicin V coding gene
						50%		X		the occurrence of prophage sequences and CRISPR-Cas system elements is abundant in the dispensable genome.
	19805210	Proceedings of the National Academy of Sciences of the United States of America	The genomic basis of trophic strategy in marine bacteria	www.pnas.org/cgi/pmidlookup?view=long&pmid=19805210	Y	80%		X	x	copiotrophs are enriched in COGs involved in motility (N), defense mechanisms (V), transcription (K), and signal transduction (T) 
						80%		X	x	Consistent with predictions by Poindexter (14) that copiotrophic bacteria are likely to display an extensive range of cellular responses to environmental stimuli, regulators with FOG:GGDEF domains (COG2199) and FOG:EAL domains (COG2200) are more abundant in copiotrophs.
						60%		X	x	Copiotrophic genomes also contain significantly more acetyltransferases of the isoleucine patch superfamily (COG0110).
						80%		X	x	oligotrophs are enriched in COGs for lipid transport and metabolism (I) and secondary metabolite biosynthesis, transport, and catabolism (Q).
						80%		X	x	A large array of gene families involved in the degradation of fatty acids is consistently overrepresented in oligotroph genomes, including COG0183 (acetyl-CoA acetyltransferase), COG0318 (acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II), COG1024 (enoyl-CoA hydratase/carnithine racemase), COG1804 (acyl-CoA transferase/carnitine dehydratase), and COG1960 (acyl-CoA dehydrogenase).
